step,node_id,base_weight,is_selected,action_taken,correlated_action_taken,num_selected_neighbors,weights_of_selected_neighbors,corrs_with_selected_neighbors,max_corr_to_selected_neighbor,weight_of_highest_corr_neighbor,logical_outcome,corr_logical_outcome
140770,320,7.5358305,0.0,-0.4470334,-0.8901777,1,[np.float32(5.0934668)],[np.float32(0.14657553)],0.14657553,5.0934668,fixed,fixed
140770,321,5.4253707,0.0,-0.40862423,-0.32496184,1,[np.float32(5.0934668)],[np.float32(0.020732379)],0.020732379,8.228977,fixed,fixed
140770,327,7.5358305,0.0,-0.47114274,-0.7470538,1,[np.float32(5.0934668)],[np.float32(0.07239285)],0.07239285,7.5358305,fixed,fixed
140770,328,6.357125,0.0,-0.4127112,-0.74012744,1,[np.float32(5.0934668)],[np.float32(0.12033005)],0.12033005,5.0934668,fixed,fixed
140770,333,5.0934668,0.0,-0.3924911,-0.5496383,1,[np.float32(5.0934668)],[np.float32(0.08184193)],0.08184193,6.9761195,fixed,fixed
140770,334,7.1303654,0.0,-0.43725294,-0.8090847,1,[np.float32(5.0934668)],[np.float32(0.11897195)],0.11897195,5.0934668,fixed,fixed
144626,7,5.977319,0.0,-0.42861062,-0.38836774,1,[np.float32(4.8615465)],[np.float32(0.025992488)],0.025992488,4.8615465,fixed,fixed
144626,9,7.5358305,0.0,-0.47512862,-0.7000701,1,[np.float32(4.8615465)],[np.float32(0.064151175)],0.064151175,4.8615465,fixed,fixed
144626,10,5.2083592,0.0,-0.3484307,-0.67666584,1,[np.float32(4.8615465)],[np.float32(0.1595158)],0.1595158,4.8615465,fixed,fixed
144626,18,4.8111362,0.0,-0.3712894,-0.29730004,1,[np.float32(4.8615465)],[np.float32(0.026210686)],0.026210686,7.5358305,fixed,fixed
144626,25,5.2083592,0.0,-0.39102352,-0.57261676,1,[np.float32(5.0934668)],[np.float32(0.087324865)],0.087324865,4.5525913,fixed,fixed
144626,27,4.8111362,0.0,-0.3786653,-0.34523892,1,[np.float32(5.0934668)],[np.float32(0.031217033)],0.031217033,7.5358305,fixed,fixed
