Job started at: Thu Apr 16 13:15:25 CEST 2026
Starting Run 2: Gamma=0.0 | Mismatch=1.0 | Update=1000
SLURM Mode Received: 0
Execution Pipeline: ['train']
Loaded Configuration: {'mode': 0, 'model_path': 'models/sac_gnn_36_cpu.pth', 'training_metrics_filename': 'training_metrics_36_cpu.png', 'distance': 5, 'n_rounds': 5, 'p': 0.004, 'p_gate_zz': 0.0, 'mismatch': 1.0, 'n_shots': 20000, 'burn_in_steps': 0, 'bypass_threshold': 2, 'action_scale': 3.0, 'update_period': 1000, 'prior_shots': 1000, 'local_action_only': True, 'local_action_hops': 1, 'hidden_dim': 128, 'lr': 0.0001, 'gamma': 0.0, 'tau': 0.005, 'alpha': 0.01, 'batch_size': 64, 'buffer_capacity': 100000, 'update_frequency': 100, 'train_episodes': 270, 'test_episodes': 20}

Initializing environment...

############################################################
### RUNNING MODE: TRAIN
############################################################

========================================
STARTING TRAINING (Episodes: 270)
========================================
Train Ep: 133/270 | Reward:  -37.0 | MSE: 0.0553 | C_Loss: 0.009 | A_Loss: 0.000 | Alpha: 0.0009
Train Ep: 134/270 | Reward:  -18.0 | MSE: 0.0407 | C_Loss: 0.011 | A_Loss: 0.001 | Alpha: 0.0009
Train Ep: 135/270 | Reward:  -20.0 | MSE: 0.0558 | C_Loss: 0.009 | A_Loss: 0.001 | Alpha: 0.0009
  [!] Running Isolated Validation (Pure CMA vs GNN)...
  -> Val Results: Pure Baseline Errors: 453 | GNN Errors: 440
  -> Relative Improvement: 2.870%
Train Ep: 136/270 | Reward:  -26.0 | MSE: 0.0699 | C_Loss: 0.009 | A_Loss: 0.002 | Alpha: 0.0008
Train Ep: 137/270 | Reward:  -12.0 | MSE: 0.0529 | C_Loss: 0.009 | A_Loss: 0.001 | Alpha: 0.0008
Train Ep: 138/270 | Reward:   -4.0 | MSE: 0.0799 | C_Loss: 0.009 | A_Loss: 0.001 | Alpha: 0.0008
Train Ep: 139/270 | Reward:  -18.0 | MSE: 0.0473 | C_Loss: 0.009 | A_Loss: 0.001 | Alpha: 0.0008
Train Ep: 140/270 | Reward:   -8.0 | MSE: 0.0454 | C_Loss: 0.008 | A_Loss: 0.000 | Alpha: 0.0008
  [!] Running Isolated Validation (Pure CMA vs GNN)...
  -> Val Results: Pure Baseline Errors: 453 | GNN Errors: 439
  -> Relative Improvement: 3.091%
Train Ep: 141/270 | Reward:  -14.0 | MSE: 0.0473 | C_Loss: 0.007 | A_Loss: -0.000 | Alpha: 0.0008
Train Ep: 142/270 | Reward:  -26.0 | MSE: 0.0458 | C_Loss: 0.008 | A_Loss: 0.001 | Alpha: 0.0008
Train Ep: 143/270 | Reward:   -6.0 | MSE: 0.0497 | C_Loss: 0.007 | A_Loss: 0.001 | Alpha: 0.0007
Train Ep: 144/270 | Reward:  -18.0 | MSE: 0.0497 | C_Loss: 0.009 | A_Loss: 0.001 | Alpha: 0.0007
Train Ep: 145/270 | Reward:  -17.0 | MSE: 0.0867 | C_Loss: 0.007 | A_Loss: 0.000 | Alpha: 0.0007
  [!] Running Isolated Validation (Pure CMA vs GNN)...
  -> Val Results: Pure Baseline Errors: 453 | GNN Errors: 438
  -> Relative Improvement: 3.311%
Train Ep: 146/270 | Reward:  -23.0 | MSE: 0.0705 | C_Loss: 0.011 | A_Loss: 0.001 | Alpha: 0.0007
Train Ep: 147/270 | Reward:  -10.0 | MSE: 0.0550 | C_Loss: 0.006 | A_Loss: 0.001 | Alpha: 0.0007
Train Ep: 148/270 | Reward:  -18.0 | MSE: 0.0514 | C_Loss: 0.008 | A_Loss: 0.001 | Alpha: 0.0007
Train Ep: 149/270 | Reward:  -10.0 | MSE: 0.0736 | C_Loss: 0.010 | A_Loss: 0.000 | Alpha: 0.0007
Train Ep: 150/270 | Reward:    1.0 | MSE: 0.0620 | C_Loss: 0.007 | A_Loss: -0.000 | Alpha: 0.0007
  [!] Running Isolated Validation (Pure CMA vs GNN)...
  -> Val Results: Pure Baseline Errors: 453 | GNN Errors: 450
  -> Relative Improvement: 0.662%
